"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A5NA2VYZ","journalArticle","2020","Sinding KS; Nielsen TG; Hvid LG; Lind M; Dalgas U","Effects of Autograft Types on Muscle Strength and Functional Capacity in Patients Having Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial.","Sports Med","","","10.1007/s40279-020-01276-x","","BACKGROUND: The effects of different autograft types for anterior cruciate ligament reconstruction (ACL-R) on muscle function are sparsely investigated in randomized controlled trials. Our aim was to investigate the effects of quadriceps tendon autograft (QTB) vs. semitendinosus-gracilis autograft (StG) on thigh muscle strength and functional capacity, and a patient-reported outcome 1 year after ACL-R, and to compare the results to healthy controls. METHODS: ACL-R patients (n = 100) and matched controls (CON, n = 50) were recruited, with patients being randomly assigned to QTB (n = 50) or StG (n = 50) ACL-R. One year after ACL-R, bilateral knee extensor (KE) and flexor (KF) muscle strength (isometric, dynamic, explosive, limb symmetry index [LSI], hamstring:quadriceps ratio [HQ ratio]) were assessed by isokinetic dynamometry, along with functional capacity (single leg hop distance [SHD]) and a patient-reported outcome (International Knee Documentation Committee [IKDC] score). RESULTS: KE muscle strength of the operated leg was lower (9-11%) in QTB vs. StG as was KE LSI, while KF muscle strength was lower (12-17%) in StG vs. QTB as was KF LSI. HQ ratios were lower in StG vs. QTB. Compared with the controls, KE and KF muscle strength were lower in StG (10-22%), while KE muscle strength only was lower in QTB (16-25%). Muscle strength in the StG, QTB, and CON groups was identical in the non-operated leg. While SHD and IKDC did not differ between StG and QTB, SHD in both StG and QTB was lower than CON. The IKDC scores improved significantly 1 year following ACL-R for both graft types. CONCLUSION: One year after ACL-R, muscle strength is affected by autograft type, with StG leading to impairments of KE and KF muscle strength, while QTB results in more pronounced impairments of KE only. Functional capacity and patient-reported outcome were unaffected by autograft type, with the former showing impairment compared to healthy controls. CLINICAL TRIALS REGISTRATION NUMBER: NCT02173483.","2020","2026-07-23 01:39:08","2026-07-23 01:39:08","","1393-1403","","7","50","","Sports Med","","","","","","","New Zealand","","","","","ClinicalTrials.gov/NCT02173483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DACIMZWX","journalArticle","2020","Smith PA; Cook CS; Bley JA","All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger.","Arthroscopy","","","10.1016/j.arthro.2020.01.048","","PURPOSE: To compare clinical outcomes of knee anterior cruciate ligament (ACL) autograft reconstruction using all-inside quadrupled semitendinosus (AIST) versus bone-patellar tendon-bone (BPTB) in a high-risk athletic population 24 years or younger. METHODS: Skeletally mature candidates younger than 24 years old with an ACL tear were randomized into either the AIST (n = 32) or BPTB (n = 32) group and were followed for 2 years. Magnetic resonance imaging scans were obtained at 1-year follow-up, and radiographs were obtained at 2-year follow-up. All surgeries were performed by a single surgeon using an anteromedial portal to establish the femoral tunnel. The primary outcome measure was KT-1000 stability testing. Secondary outcome measures included International Knee Documentation Committee (IKDC) Knee Evaluation Form, IKDC Subjective Form, Knee Injury and Osteoarthritis Outcome Score, Marx Activity Scale, visual analog pain scale, and SF-12 (Mental and Physical). RESULTS: At 2-year follow-up, no statistical difference existed with KT-1000-measured side-to-side laxity between AIST (0.3 ± 0.7 mm, 95% confidence interval 0.0-1.0 mm) and BPTB (0.0 ± 0.8 mm, confidence interval CI -0.3 to 1.1 mm) (P = .197). In addition, no statistical differences between the groups were found for IKDC Subjective Form, Knee Injury and Osteoarthritis Outcome Score, Marx, SF-12 Mental, SF-12 Physical, or with regards to imaging findings. Patients with BPTB reported significantly greater postoperative pain scores at days 2 (P = .049), 3 (P = .004), and 7 (P = .015) and had significantly greater kneeling pain at 2 years (P < .019). A return to sport questionnaire at 2 years revealed no significant difference between the groups for returning to preoperative level of sport activity (83% AIST, 74% BPTB; P = .415). Two graft retears (7%; P = .222) occurred in the AIST group. Three patients in the BPTB group experienced ACL tears in the contralateral knee (9%; P = .239). CONCLUSIONS: ACL reconstruction with an all-inside quadrupled semitendinosus autograft construct is equivalent to patellar BPTB autograft based on KT-1000 stability testing in athletes 24 years or younger. LEVEL OF EVIDENCE: randomized controlled trial with 92% 2-year follow-up, Level I.","2020","2026-07-23 01:39:08","2026-07-23 01:39:08","","1629-1646","","6","36","","Arthroscopy","","","","","","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B64M822C","journalArticle","2020","Lind M; Nielsen TG; Soerensen OG; Mygind-Klavsen B; Faunø P","Quadriceps tendon grafts does not cause patients to have inferior subjective outcome after anterior cruciate ligament (ACL) reconstruction than do hamstring grafts: a 2-year prospective randomised controlled trial.","Br J Sports Med","","","10.1136/bjsports-2019-101000","","OBJECTIVE: We performed a randomised controlled trial (RCT) in patients undergoing ACL reconstruction (ACLR) using either quadriceps tendon graft (QT) or semitendinosus/gracilis hamstring (STG) graft. We compared subjective outcome (primary outcome) and knee stability, donor site morbidity and function (secondary outcomes). METHODS: From 2013 to 2015, we included 99 adults with isolated ACL injuries in the RCT. Fifty patients were randomised to QT grafts and 49 to STG grafts and followed for 2 years. Patient evaluated outcomes were performed by subjective International Knee Documentation Committee, Knee Injury and Osteoarthritis Outcome Score, Kujala and Tegner activity scores. Knee laxity was measured with a KT-1000 arthrometer. Donor site morbidity was evaluated by the 'donor site-related functional problems following ACLR score'. One-leg hop test tested limp strength symmetry. RESULTS: At 2-year follow-up, there was no difference between the two graft groups regarding subjective patient outcome, knee stability and reoperations. Also, at 2 years, donor site symptoms were present in 27% of patients in the QT group and 50% of patients in the STG group. The donor site morbidity score was 14 and 22 for the QT and STG, respectively. Hop test demonstrated lower limp symmetry for QT graft than STG graft of 91% and 97% respectively. CONCLUSION: QT graft for ACLR did not result in inferior subjective outcome compared with STG graft. However, QT graft was associated with lower donor site morbidity than STG grafts but resulted in more quadriceps muscle strength deficiency than hamstring grafts. Both graft types had similar knee stability outcome. TRIAL REGISTRATION NUMBER: NCT02173483.","2020","2026-07-23 01:39:08","2026-07-23 01:39:08","","183-187","","3","54","","Br J Sports Med","","","","","","","England","","","","","ClinicalTrials.gov/NCT02173483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJXSTBYQ","journalArticle","2019","Martin-Alguacil JL; Arroyo-Morales M; Martin-Gómez JL; Lozano-Lozano M; Galiano-Castillo N; Cantarero-Villanueva I","Comparison of knee sonography and pressure pain threshold after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players.","Acta Orthop Traumatol Turc","","","10.1016/j.aott.2019.04.012","","OBJECTIVE: The aim of this study was to compare the pressure pain threshold and muscle architecture after an anatomic single bundle reconstruction with quadriceps tendon and hamstring tendon autografts of the anterior cruciate ligament in competitive soccer players. We hypothesized that both procedures will obtain similar outcomes. METHODS: Fifty-one participants were enrolled in this secondary analysis of a randomized controlled trial and were categorised into two groups: quadriceps tendon (QT) group (23 men and 3 women; mean age 18.7 ± 3.6; BMI 23.0 ± 2.2) or hamstring tendon (HT) group (16 men and 9 women; mean age 19.2 ± 3.6 BMI 23.5 ± 3.5). Both groups followed the same rehabilitation staged protocol. Pressure pain threshold (PPT), as a measure of perceived pain, was obtained in several points of quadriceps and hamstring muscles. Ultrasound imaging measurements were obtained in quadriceps tendon and knee cartilage thickness. Four measurements were taken in this study: baseline, 1, 3, 6, and 12 months after the anterior cruciate ligament (ACL) reconstruction. RESULTS: The analysis of PPT did not find significant differences in both groups × interaction time in the points evaluated: epicondyle (QT = 421.1 ± 184.1 vs HT = 384.7 ± 154.1 kPa), vastus lateralis (QT = 576.2 ± 221.3 vs HT = 560.1 ± 167.7 kPa), vastus medialis (QT = 544.7 ± 198.8 vs HT = 541.1.1 ± 181.77 kPa), patellar tendon (QT = 626.3 ± 221.1 vs HT = 665.0 ± 205.5 kPa), QT (QT = 651.1 ± 276.9 vs HT = 660.0 ± 195.2 kPa). (QT = 667.8 ± 284.7 vs HT = 648.2 ± 193.4 kPa) injured knee (all P > 0.05). The results of ultrasound imaging did not show significant differences in both groups × interaction time in the thickness of the QT (QT = 9.9 ± 2.4 vs HT = 9.4 ± 1.7 kPa) and patellar cartilage (QT = 3.2 ± 0.6 vs HT = 3.2 ± 0.4 kPa) (P > 0.05). CONCLUSION: A QT autograft produces similar results to a HT autograft in ACL reconstructions in terms of pressure pain threshold and ultrasound muscle architecture during the 1-year follow-up. LEVEL OF EVIDENCE: Level I, Therapeutic Study.","2019","2026-07-23 01:39:08","2026-07-23 01:39:08","","260-265","","4","53","","Acta Orthop Traumatol Turc","","","","","","","Turkey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNL7ZKYJ","journalArticle","2019","Mohtadi NG; Chan DS","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up.","J Bone Joint Surg Am","","","10.2106/JBJS.18.01322","","BACKGROUND: This randomized clinical trial evaluated the 5-year, disease-specific quality-of-life outcomes of patients treated for anterior cruciate ligament (ACL) deficiency with use of a patellar tendon, single-bundle quadruple-stranded hamstring, or double-bundle hamstring reconstruction. METHODS: Patients (n = 110 per group; 183 male; 14 to 50 years of age) were randomly allocated to anatomically positioned ACL reconstruction with use of a patellar tendon graft (patellar tendon group; mean age, 28.7 years), quadruple-stranded hamstring tendon construct (hamstring tendon group; mean age, 28.5 years), or double-bundle hamstring tendon construct (double-bundle group; mean age, 28.3 years). Computer-generated allocation with varied block randomization was performed intraoperatively. The 5-year primary outcome measure was the Anterior Cruciate Ligament-Quality of Life (ACL-QOL) score, and secondary outcome measures included the International Knee Documentation Committee (IKDC) subjective score and objective grades, pivot shift assessment, range of motion, kneeling pain, Tegner activity scale, Cincinnati Occupational Rating Scale, complete traumatic reruptures, partial traumatic tears, total traumatic reinjuries, and atraumatic graft failures. RESULTS: Three hundred and fifteen patients (95%) completed the 5-year follow-up (4 withdrawals, and 11 lost to follow-up). ACL-QOL scores increased significantly from baseline for all groups (p < 0.0001), but mean scores at 5 years did not differ among the groups (p = 0.548): mean (and standard deviation) of 82.5 ± 17.9 (95% confidence interval [CI], 79.0 to 86.0) for patellar tendon, 83.9 ± 18.2 (95% CI, 80.3 to 87.4) for hamstring tendon, and 81.1 ± 19.3 (95% CI, 77.4 to 84.8) for double-bundle. The proportions of patients at 5 years with a pivot shift grade of ≥2 (12% for patellar tendon, 16% for hamstring tendon, and 22% for double-bundle; p = 0.149) and with normal and nearly normal knees per IKDC grade (87%, 82%, and 75% for the 3 groups, respectively; p = 0.093) trended in favor of patellar tendon reconstruction. No differences were seen for the IKDC subjective scores, knee range of motion including passive extension deficits, the single leg hop test, Cincinnati Occupational Rating scores, and Tegner activity levels. Kneeling pain was more common with patellar tendon reconstruction (10% of patients compared with 4% for hamstring tendon and 2% for double-bundle; p = 0.029). For hamstring tendon and double-bundle reconstructions, there were trends toward more complete traumatic reruptures (4% for patellar tendon, 10% for hamstring tendon, and 10% for double-bundle; p = 0.145) and partial traumatic tears (0%, 5%, and 6%, respectively; p = 0.059), with significantly fewer combined traumatic reinjuries in the patellar tendon group (4 patients compared with 16 for hamstring tendon and 17 for double-bundle; p = 0.010). Atraumatic graft failure (pivot shift grade of ≥2) was found for 10% of the patients. CONCLUSIONS: At 5 years, we found no significant difference in the quality-of-life outcome among the patellar tendon, hamstring tendon, and double-bundle techniques for ACL reconstruction. Significantly more patients in the hamstring tendon and double-bundle groups experienced traumatic graft reinjury compared with the patellar tendon group. There was a trend toward a higher percentage with normal and nearly normal IKDC grades in the patellar tendon group compared with hamstring tendon and double-bundle groups. LEVEL OF EVIDENCE: Therapeutic Level I. See Instructions for Authors for a complete description of levels of evidence.","2019","2026-07-23 01:39:08","2026-07-23 01:39:08","","949-960","","11","101","","J Bone Joint Surg Am","","","","","","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXBI4P7B","journalArticle","2018","Covey DC; Sandoval KE; Riffenburgh RH","Contrast-Enhanced MRI Evaluation of Bone-Patellar Tendon-Bone and Hamstring ACL Autograft Healing in Humans: A Prospective Randomized Study.","Orthop J Sports Med","","","10.1177/2325967118800298","","BACKGROUND: Gadopentetate dimeglumine-enhanced magnetic resonance imaging (MRI), or gadolinium-enhanced MRI, was used to prospectively study the postoperative course of bone-patellar tendon-bone (BPTB) and combined semitendinosus and gracilis (STG) tendon autografts following arthroscopically assisted reconstruction of the anterior cruciate ligament (ACL) in humans. Gadopentetate dimeglumine is a contrast agent that has been shown to enhance the signal of vascularized tissue when examined by MRI. PURPOSE: To prospectively determine and compare the pattern and timing of autograft revascularization following arthroscopically assisted ACL reconstruction by BPTB or STG autografts. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 73 patients (63 males, 10 females) with ACL tears who were scheduled to undergo reconstruction consented to participate in this study. The patients were randomized to receive arthroscopically assisted reconstruction of the ACL employing either BPTB or STG autografts. Gadolinium-enhanced MRI scans were scheduled at 3-month intervals during the first postoperative year to assess the integrity, timing, and pattern of enhancement of the ACL graft. The temporal sequence and morphologic characteristics of imaged signals were compared for both types of ACL reconstructions. RESULTS: Based on all knees with 1 exception, there were no statistically significant differences in gadopentetate dimeglumine-mediated graft enhancement grade observed between BPTB and STG autografts. CONCLUSION: The results suggest that autograft revascularization probably varies in intensity and location during the time course of graft healing. The interval signal changes observed 3 to 9 months, but especially 6 to 9 months, postoperatively are due to increased contrast uptake as a reflection of ongoing neovascularization during the process of ligamentization.","2018","2026-07-23 01:39:08","2026-07-23 01:39:08","","2325967118800298","","10","6","","Orthop J Sports Med","","","","","","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5S72JYE","journalArticle","2018","Martin-Alguacil JL; Arroyo-Morales M; Martín-Gomez JL; Monje-Cabrera IM; Abellán-Guillén JF; Esparza-Ros F; Lozano ML; Cantarero-Villanueva I","Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial.","Knee","","","10.1016/j.knee.2018.03.011","","BACKGROUND: The comparison between HT and QT grafts in strength recovery and function after an ACLR is scarce in the literature. METHODS: A total of 56 participants were enrolled in this randomized controlled trial and placed into two groups: HT or QT. The hamstring/quadriceps (H/Q) ratio was the primary end-point measured with a Genu-3 dynamometer. Peak torque, functional assessment (Lysholm knee scoring scale and Cincinnati Knee Rating System), and anteroposterior laxity (KT-2000™ arthrometer) were also assessed. An intention-to-treat analysis was performed. RESULTS: The results of the H/Q ratio analysis of the participants over time revealed significant differences at 60, 180, and 300°/s at three, six, and 12months of follow-up (60°/s: F=5.3, p=0.005; 180°/s: F=5.5, p=0.004; 300°/s: F=5.1, p=0.005). Furthermore, they revealed significant differences at 60°/s, 180°/s, and 300°/s in the participants over time for peak torque in the extensor muscle strength at three and six months of follow-up, with higher values in the hamstring tendon group but not at 12months of follow-up. There were no significant differences in functional endpoints or arthrometer assessments at 24months of follow-up. CONCLUSION: An ACLR with a QT graft showed similar functional results with a better isokinetic H/Q ratio compared to an ACLR with the HT at 12months of follow-up in soccer players. This higher H/Q ratio observed with the QT could be an advantage of this graft over the HT for an ACLR.","2018","2026-07-23 01:39:08","2026-07-23 01:39:08","","704-714","","4","25","","Knee","","","","","","","Netherlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKHBAJ9R","journalArticle","2018","Sajovic M; Stropnik D; Skaza K","Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial.","Am J Sports Med","","","10.1177/0363546518768768","","BACKGROUND: Short-term and mid-term differences between hamstring and patellar tendon autografts for anterior cruciate ligament (ACL) reconstruction are well documented. Systematic reviews highlight the lack of long-term results between the two grafts. HYPOTHESIS: Seventeen years after ACL reconstruction, no difference will be found in functional outcome, quality of life, and graft failure between patients with patellar tendon (PT) or semitendinosus and gracilis tendon (STG) autografts; however, a significant difference will be seen in the prevalence of osteoarthritis. STUDY DESIGN: Randomized controlled trial; Level of evidence, 2. METHODS: Sixty-four patients were included in this prospective study (32 in each group). A single surgeon performed primary ACL reconstruction in alternating sequence. Forty-eight patients (24 in each group) were evaluated 17 years after ACL reconstruction: A clinical assessment was made based on the International Knee Documentation Committee (IKDC) form, instrumented laxity was measured with KT-1000 arthrometer, and radiography of the operated knee was conducted and assessed for degenerative disease. The Lysholm questionnaire and the Short Form-36 version 2 questionnaire were filled out by the patients. RESULTS: At the 17-year follow-up, no statistically significant differences were seen with respect to graft failure (2 reruptures in the semitendinosus and gracilis tendon [STG] group [6.3%] and 3 reruptures in the PT group [9.4%]) and functional outcome. Increased instrumented laxity (>3 mm) measured with KT-1000 arthrometer was seen in significantly more patients in the STG group (8 in the STG group compared with 2 in the PT group; P = .03) with a mean side-to-side difference of 2.17 ± 1.86 mm in the STG group compared with 1.33 ± 1.93 mm in the PT group. A significant difference was found in frequency of knee osteoarthritis (OA)-100% in the PT group compared with 71% in the STG group ( P = .004). Patients in the PT group tended to have higher grade OA according to the IKDC grading system, with an average grade of 1.46 in the PT group compared with 1 in the STG group ( P = .055). The degenerative changes in the PT group were more common in the medial and patellofemoral compartments ( P = .003 and P = .04, respectively). CONCLUSION: Both autografts provided good to excellent subjective outcomes. No significant differences were noted in graft failure and clinical instability. However, significantly more patients in the STG group had increased instrumented anteroposterior translation measured with KT-1000 arthrometer, and there was a greater prevalence of knee OA at 17 years after surgery in the PT group.","2018","2026-07-23 01:39:08","2026-07-23 01:39:08","","1800-1808","","8","46","","Am J Sports Med","","","","","","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5T4HU6JW","journalArticle","2018","Bi M; Zhao C; Zhang S; Yao B; Hong Z; Bi Q","All-Inside Single-Bundle Reconstruction of the Anterior Cruciate Ligament with the Anterior Half of the Peroneus Longus Tendon Compared to the Semitendinosus Tendon: A Two-Year Follow-Up Study.","J Knee Surg","","","10.1055/s-0038-1627466","","The anterior half of the peroneus longus tendon (AHPLT) has been reported to be acceptable for ligament reconstruction with respect to strength and safety. However, there is little information regarding the clinical outcomes after using the AHPLT compared with other autograft tendons. A prospective randomized controlled study was performed to compare the results of 62 cases of all-inside anatomical single-bundle anterior cruciate ligament (ACL) reconstruction using the AHPLT and 62 cases using semitendinosus graft with an average of 30.0 ± 3.6 months' follow-up. Tunnel placements of enrolled cases were measured on three-dimensional (3D) computed tomography (CT) and X-ray imaging. Knee stability was assessed using the anterior drawer test, pivot shift test, and KT-1000. The International Knee Documentation Committee (IKDC) 2000 subjective score was used to evaluate functional outcomes. The American Orthopedic Foot and Ankle Score (AOFAS) and the assessment of eversion muscle strength were performed to evaluate the function of the ankle donor site. Tunnel positions, which were confirmed with 3D CT, were in the anatomical positions. At the final follow-up, there were no significant differences between the semitendinosus group and the AHPLT group in the IKDC score (90.4 ± 7.1 vs. 89.3. ± 8.4), KT 1000 measurements (1.71 ± 0.57 vs. 1.85 ± 0.77), pivot shift test, and Visual Analogue Scale (VAS) (0.15 ± 0.36 vs. 0.10 ± 0.30). No obvious ankle site complications were found at 24 months. The average AOFAS score of the AHPLT group was comparable to that of the semitendinosus tendon group (99.1 ± 1.40 vs. 99.5 ± 1.21). There was no significant difference in clinical outcomes or knee stability between the semitendinosus group and the AHPLT group at the 2-year follow-up. An AHPLT autograft may be a good alternative for all-inside ACL reconstruction with respect to its strength, safety, and donor site morbidity.","2018","2026-07-23 01:39:08","2026-07-23 01:39:08","","1022-1030","","10","31","","J Knee Surg","","","","","","","Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53TEQCA9","journalArticle","2017","Buescu CT; Onutu AH; Lucaciu DO; Todor A","Pain level after ACL reconstruction: A comparative study between free quadriceps tendon and hamstring tendons autografts.","Acta Orthop Traumatol Turc","","","10.1016/j.aott.2017.02.011","","OBJECTIVE: The objective of this study was to compare the pain levels and analgesic consumption after single bundle ACL reconstruction with free quadriceps tendon autograft versus hamstring tendon autograft. PATIENTS AND METHODS: A total of 48 patients scheduled for anatomic single-bundle ACL reconstruction were randomized into two groups: the free quadriceps tendon autograft group (24 patients) and the hamstring tendons autograft group (24 patients). A basic multimodal analgesic postoperative program was used for all patients and rescue analgesia was provided with tramadol, at pain scores over 30 on the Visual Analog Scale. The time to the first rescue analgesic, the number of doses of tramadol and pain scores were recorded. The results within the same group were compared with the Wilcoxon signed test. RESULTS: Supplementary analgesic drug administration proved significantly higher in the group of subjects with hamstring grafts, with a median (interquartile range) of 1 (1.3) dose, compared to the group of subjects treated with a quadriceps graft, median = 0.5 (0.1.25) (p = 0.009). A significantly higher number of subjects with a quadriceps graft did not require any supplementary analgesic drug (50%) as compared with subjects with hamstring graft (13%; Z-statistics = 3.01, p = 0.002). The percentage of subjects who required a supplementary analgesic drug was 38% higher in the HT group compared with the FQT group. CONCLUSION: The use of the free quadriceps tendon autograft for ACL reconstruction leads to less pain and analgesic consumption in the immediate postoperative period compared with the use of hamstrings autograft. LEVEL OF EVIDENCE: Level I Therapeutic study.","2017","2026-07-23 01:39:09","2026-07-23 01:39:09","","100-103","","2","51","","Acta Orthop Traumatol Turc","","","","","","","Turkey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2SBAS73","journalArticle","2017","Wasserman BR; Singh BC; Kaplan DJ; Weinberg M; Meislin R; Jazrawi LM; Strauss EJ","Braking Reaction Time After Right-Knee Anterior Cruciate Ligament Reconstruction: A Comparison of 3 Grafts.","Arthroscopy","","","10.1016/j.arthro.2016.05.043","","PURPOSE: To determine when patients recover the ability to safely operate the brakes of an automobile after a right-knee anterior cruciate ligament reconstruction (ACLR). METHODS: A computerized driving simulator was used to determine braking ability after an isolated right-knee ACLR. Thirty healthy volunteers were tested at 1 visit to determine normal mean values, and 27 treatment subjects were tested at 1 week, 3 weeks, and 6 weeks after ACLR. Nine study subjects were treated with a patella tendon (BPTB) autograft, 9 were treated with a hamstring (HS) autograft, and 9 were treated with a tibialis anterior (TA) allograft. The driving simulator collected data on brake reaction time (BRT), brake travel time (BTT), and total brake time (TBT) at each visit. RESULTS: The control group generated a BRT of 725 milliseconds, BTT of 2.87 seconds, and TBT of 3.59 seconds. At week 1, all treatment patients had significant differences compared with controls for BRT, BTT, and TBT, except the BTT of the HS group. At week 3, all measures for the allograft group and the BRT for both autograft groups were no longer significantly different compared with controls, but significant differences were found for TBT in the HS and BPTB groups (P = .03, P = .01). At week 6, BRT, BTT, and TBT were no longer significantly different for either the HS group or BPTB group. CONCLUSIONS: Patients who underwent a right-knee ACLR with a TA allograft regained normal braking times by week 3 postoperatively. In contrast, those treated with a BPTB or HS autograft demonstrated significantly delayed braking times at 3 weeks but returned to normal braking ability by week 6. Those treated with an autograft had an earlier return of normalized BRT than BTT. LEVEL OF EVIDENCE: Level III, case-control series.","2017","2026-07-23 01:39:09","2026-07-23 01:39:09","","173-180","","1","33","","Arthroscopy","","","","","","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQNE49Q6","journalArticle","2017","Iliopoulos E; Galanis N; Zafeiridis A; Iosifidis M; Papadopoulos P; Potoupnis M; Geladas N; Vrabas IS; Kirkos J","Anatomic single-bundle anterior cruciate ligament reconstruction improves walking economy: hamstrings tendon versus patellar tendon grafts.","Knee Surg Sports Traumatol Arthrosc","","","10.1007/s00167-016-4229-4","","PURPOSE: Anterior cruciate ligament (ACL) injury is associated with a pathologic gait pattern and increased energy cost during locomotion. ACL reconstruction could improve the gait pattern. Hamstrings tendon (HAM) and bone-patellar tendon-bone (BPTB) grafts are usually used for reconstruction. The aim of this study was to compare the efficacy of anatomic ACL reconstruction with HAM and BPTB grafts on improving and normalizing the energy cost and physiologic reserves during flat, uphill, and downhill walking. METHODS: Twenty male subjects with unilateral ACL injuries were randomly assigned to ACL reconstruction with a HAM (n = 10) or BPTB (n = 10) graft. Ten matched controls were also enrolled. All participants performed three 8-min walking tasks at 0, +10, and -10 % gradients before and 9 months after surgery. Energy cost (oxygen consumption, VO(2)), heart rate (HR), and ventilation (VE) were measured. Lysholm/IKDC scores were recorded. RESULTS: Pre-operatively, VO(2), HR, and VE were higher in the HAM and BPTB groups than in controls during walking at 0, +10, and -10 % gradients (p < 0.001-0.01). Post-operatively, both HAM and BPTB groups showed reduced VO(2), HR, and VE during the three walking tasks (p < 0.001-0.01). Although the post-operative VO(2) in both surgical groups reached 90-95 % of the normative (control) value during walking, it remained elevated against the value observed in controls (p < 0.001-0.01). The HAM and BPTB groups showed no differences in post-surgical VO(2) or HR during walking at all three gradients. CONCLUSION: Anatomic ACL reconstruction with either HAM or BPTB graft resulted in similar short-term improvements in energy cost and nearly normalized locomotion economy and cardiorespiratory reserves during flat, uphill, and downhill walking. The improved locomotion economy is an additional benefit of anatomic ACL reconstruction, irrespective of the type of graft used, that the orthopaedic surgeons should consider. LEVEL OF EVIDENCE: II.","2017","2026-07-23 01:39:09","2026-07-23 01:39:09","","3155-3162","","10","25","","Knee Surg Sports Traumatol Arthrosc","","","","","","","Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
